station,longitude,latitude,Particle PM10,Particle PM2.5,Visibility,Sulfur dioxide,Nitrogen dioxide,Ozone,Carbon monoxide,Particles TSP
Moranbah (Utah Dr),148.071,-21.9995,38.6,26,,,,,,
Emerald,148.165,-23.5208,-2222,-4444,,,,,,
West Mackay,149.155,-21.1595,27.2,26,7.7,,,,,
Moranbah (Cunningham Way),148.042,-22.0112,48.6,28,,,,,,
Blackwater,148.881,-23.5627,43,27.6,,,,,,
Targinie,151.105,-23.7744,28.4,26.4,7.7,0,0,,,
Clinton,151.222,-23.8701,23,19.2,8.9,2,3.3,,,
South Gladstone,151.27,-23.8626,44,23.6,8.5,1,1.7,,,
Memorial Park,151.252,-23.8443,,,,-4999500,-8332500,-9999000,,
Auckland Point,151.254,-23.8351,32.6,,,,,,,
Boyne Island,151.351,-23.9408,28.2,24.8,9.8,0.5,0,,0,
Fisherman's Landing,151.16,-23.7937,27.4,20.8,8.5,0.5,0,,,
Boat Creek,151.154,-23.8199,38.2,27.6,8.9,0,3.3,,,
The Gap,139.498,-20.7264,37,,,0,,,,
Flinders View,152.774,-27.6528,46.2,,11.1,0,5,29,,
North Maclean,153.03,-27.7708,,,,,0.8,33,,
Southport,153.402,-27.9612,37,31.2,,,1.7,24,,
Woolloongabba,153.035,-27.4975,35.2,30,,,4.2,,0,
Wynnum,153.158,-27.4296,55.6,38.4,,0,0.8,,,
Wynnum West,153.15,-27.4379,40.4,22.4,,13.5,,,,
Mutdapilly,152.651,-27.7528,,,,,1.7,32,,
South Brisbane,153.032,-27.4848,37,31.2,,,2.5,,0,
Springwood,153.136,-27.6125,36,20,,0.5,0.8,25,,
Rocklea,152.993,-27.5358,29.4,26.8,14,,2.5,28,,
Lytton,153.153,-27.4065,52.8,24,,1,,,,
Deception Bay,153.158,-27.4296,,,,,0,25,,
Brisbane CBD,153.028,-27.4774,38.4,34,14.5,,,,,
Cannon Hill,153.087,-27.4654,30.2,28,,,,22,,36.1
Mountain Creek,153.104,-26.6917,42.4,,17.9,,0.8,22,,
Hopeland,0,0,25.4,19.6,,,0,31,1.1,24.8
Miles Airport,0,0,180.2,336.4,,,0,35,-111100,119.6
Upper Humbug,150.4,-27.0908,43.2,24.8,,,0,31,1.1,45.9
Lennon Drive,146.826,-19.2589,20.4,,,,,,,21.1
Coastguard,146.827,-19.2526,22.4,,,,,,,17.5
Environment Park,146.831,-19.2629,25,,,,,,,
North Ward,146.807,-19.2509,24.2,23.2,11.9,0,0,,,
